File_name	Segment	Dur	F0_min	F0_min_loc	F0_max	F0_max_loc	F0_mgnt	F0_changerate
ZX_si21	t21	0.449	124.93	0.80	159.37	0.32	-34.44	-160.32
ZX_si21	t21	0.480	120.43	0.81	151.18	0.25	-30.75	-113.47
ZX_si21	t21	0.285	116.36	0.74	428.46	1.00	312.10	4278.12
ZX_si21_2	t21	0.364	120.05	0.87	152.56	0.31	-32.52	-159.74
ZX_si21_2	t21	0.352	118.58	0.83	155.21	0.17	-36.63	-155.39
ZX_si21_2	t21	0.243	NA	NA	NA	NA	NA	NA
ZX_si24	t24	0.323	182.14	0.58	260.15	0.94	78.00	672.22
ZX_si24	t24	0.286	165.88	0.44	239.07	0.87	73.19	598.48
ZX_si24	t24	0.250	196.65	0.54	245.13	0.79	48.48	770.91
ZX_si24	t24	0.314	189.56	0.53	240.82	0.83	51.25	546.78
ZX_si24	t24	0.359	163.95	0.38	237.51	0.82	73.56	466.91
ZX_si24	t24	0.301	173.91	0.45	237.68	0.77	63.77	645.19
ZX_si24	t24	0.350	205.33	0.48	249.72	0.78	44.40	428.37
ZX_si24	t24	0.296	178.95	0.43	235.98	0.81	57.04	509.11
ZX_si24	t24	0.225	214.20	0.98	246.83	0.76	-32.63	-677.11
ZX_si34	t34	0.395	140.77	0.12	168.29	0.87	27.52	93.25
ZX_si34	t34	0.210	146.83	0.30	169.92	0.81	23.09	214.97
ZX_si34	t34	0.209	150.12	0.35	165.35	0.84	15.23	149.00
ZX_si43	t42	0.317	168.62	0.91	217.38	0.37	-48.76	-288.73
ZX_si43	t42	0.335	162.76	0.79	205.99	0.28	-43.23	-253.37
ZX_si43	t42	0.188	173.61	0.84	203.35	0.45	-29.73	-403.37
ZX_si43	t42	0.299	168.78	0.91	216.80	0.34	-48.01	-278.41
ZX_si43	t42	0.337	154.74	0.85	207.65	0.28	-52.91	-273.66
ZX_si43	t42	0.219	161.29	0.82	193.91	0.40	-32.62	-357.77
ZX_si45	t45	0.193	186.97	0.14	351.99	0.89	165.02	1142.90
ZX_si45	t45	0.227	180.96	0.12	260.13	0.77	79.16	541.00
ZX_si45	t45	0.125	190.36	0.20	259.24	0.88	68.88	803.58
ZX_si45	t45	0.219	219.04	0.13	314.18	0.90	95.13	567.73
ZX_si45	t45	0.211	196.38	0.12	268.21	0.87	71.83	450.37
ZX_si45	t45	0.133	229.67	0.30	293.10	0.87	63.43	841.40
ZX_si45_2	t45	0.234	213.78	0.06	277.95	0.83	64.17	360.39
ZX_si45_2	t45	0.208	220.43	0.09	284.28	0.79	63.85	435.49
ZX_si45_2	t45	0.178	218.75	0.11	333.01	0.79	114.26	940.37
ZX_si45_3	t45	0.238	188.11	0.12	302.18	0.92	114.06	596.63
ZX_si45_3	t45	0.268	181.36	0.10	268.26	0.91	86.90	402.36
ZX_si45_3	t45	0.237	208.75	0.07	281.69	0.85	72.95	396.56
ZX_ti34	t34	0.341	185.68	0.04	239.62	0.91	53.94	183.54
ZX_ti34	t34	0.342	185.19	0.05	232.03	0.92	46.84	156.33
ZX_ti34	t34	0.318	188.15	0.05	234.87	0.83	46.72	188.06
ZX_ti42	t42	0.352	224.31	0.80	249.02	0.54	-24.71	-262.96
ZX_ti42	t42	0.342	225.86	0.73	252.10	0.50	-26.24	-330.61
ZX_ti42	t42	0.276	223.76	0.75	251.16	0.45	-27.40	-325.27
ZX_ti45	t45	0.263	216.76	0.07	336.80	0.89	120.04	560.81
ZX_ti45	t45	0.260	200.21	0.03	320.46	0.89	120.26	534.24
ZX_ti45	t45	0.180	227.59	0.08	321.19	0.84	93.60	691.50
